method_id,canonical (Angenent-Mari 2020),canonical (Angenent-Mari 2020) :: evidence,BEACON 2024 (same-study view),BEACON 2024 (same-study view) :: evidence,VISTA mCherry,VISTA mCherry :: evidence,crowdsourced 100-regulator,crowdsourced 100-regulator :: evidence,SANDSTORM released designs,SANDSTORM released designs :: evidence
exact-random,NO_TRAINING,analytic expectation; no data read,NO_TRAINING,analytic expectation; no data read,NO_TRAINING,analytic expectation; no data read,NO_TRAINING,analytic expectation; no data read,NO_TRAINING,analytic expectation; no data read
gc-baseline,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
thermo-scorer,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
lightgbm-biophys,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
lightgbm-seq,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
lightgbm-combined,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
cnn60/full_tblr,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
cnn60/tb_mse,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
cnn60/rowwise_mse,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
cnn60/tb_dual,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
